Recent.Dat
11 21 2017 21 21 00 00000000 00110000  13.4 1532.6 168.6  -1.0  0.1   3.911  24.29     0     0
    0.206   -0.725 125.0 113.0
    0.196   -0.753 123.0 106.0
    0.195   -0.767 118.0 101.0
    0.204   -0.788 113.0  95.0
    0.211   -0.829 109.0  90.0
    0.238   -0.856 106.0  83.0
    0.233   -0.870 101.0  78.0
    0.258   -0.887  93.0  72.0
    0.255   -0.937  88.0  67.0
    0.244   -0.928  83.0  64.0
    0.275   -0.904  77.0  61.0
    0.268   -0.958  72.0  57.0
    0.265   -0.956  69.0  53.0

Recent.Dat
11 21 2017 21 51 00 00000000 00110000  13.4 1532.6 168.6  -0.9  0.4   3.962  24.27     0     0
    0.069   -0.415 209.0 206.0
    0.068   -0.424 197.0 195.0
    0.082   -0.499 188.0 185.0
    0.075   -0.497 181.0 180.0
    0.070   -0.548 176.0 174.0
    0.075   -0.617 171.0 169.0
    0.107   -0.631 167.0 165.0
    0.120   -0.640 162.0 161.0
    0.101   -0.597 159.0 157.0
    0.105   -0.639 155.0 151.0
    0.132   -0.663 149.0 147.0
    0.125   -0.702 145.0 142.0
    0.133   -0.676 144.0 137.0
    0.135   -0.742 138.0 134.0
    0.148   -0.737 136.0 130.0
    0.163   -0.697 131.0 124.0
    0.171   -0.717 126.0 120.0
    0.198   -0.733 120.0 115.0
    0.190   -0.727 117.0 111.0
    0.195   -0.760 114.0 106.0
    0.198   -0.721 109.0  99.0
    0.215   -0.804 105.0  94.0
    0.230   -0.804 100.0  89.0
    0.236   -0.842  97.0  83.0
    0.245   -0.857  93.0  78.0
    0.253   -0.882  87.0  73.0
    0.269   -0.896  82.0  66.0
    0.282   -0.889  77.0  63.0
    0.291   -0.918  71.0  59.0
    0.293   -0.940  66.0  55.0

Recent.Dat
11 21 2017 21 57 00 00000000 00110000  13.4 1532.5 169.2  -1.1  -0.1   3.970  24.25     0     0
    0.065   -0.410 207.0 206.0
    0.074   -0.461 195.0 194.0
    0.074   -0.508 188.0 188.0
    0.098   -0.578 181.0 181.0
    0.112   -0.659 177.0 177.0
    0.104   -0.667 172.0 170.0
    0.099   -0.686 167.0 164.0
    0.119   -0.692 161.0 160.0
    0.131   -0.674 159.0 158.0
    0.135   -0.677 156.0 154.0
    0.117   -0.674 152.0 147.0
    0.128   -0.685 148.0 140.0
    0.128   -0.685 143.0 137.0
    0.158   -0.720 137.0 131.0
    0.158   -0.706 135.0 126.0
    0.174   -0.776 132.0 120.0
    0.178   -0.812 124.0 116.0
    0.179   -0.847 121.0 111.0
    0.179   -0.795 117.0 104.0
    0.211   -0.858 114.0  99.0
    0.202   -0.874 111.0  94.0
    0.215   -0.894 106.0  88.0
    0.232   -0.914 101.0  82.0
    0.247   -0.960  96.0  76.0
    0.257   -0.977  91.0  70.0
    0.277   -1.006  85.0  66.0
    0.274   -1.009  80.0  61.0
    0.290   -1.032  73.0  58.0
    0.297   -1.043  68.0  56.0
    0.319   -1.026  64.0  52.0

Recent.Dat
11 21 2017 22 03 00 00000000 00110000  13.4 1532.5 168.4  -1.0  -0.1   3.979  24.25     0     0
    0.078   -0.362 206.0 204.0
    0.068   -0.455 194.0 194.0
    0.082   -0.496 184.0 183.0
    0.095   -0.535 178.0 176.0
    0.097   -0.541 174.0 171.0
    0.115   -0.604 168.0 166.0
    0.150   -0.682 163.0 164.0
    0.137   -0.688 160.0 158.0
    0.142   -0.659 157.0 154.0
    0.122   -0.668 155.0 148.0
    0.143   -0.628 150.0 144.0
    0.144   -0.650 146.0 141.0
    0.160   -0.635 143.0 136.0
    0.158   -0.641 140.0 130.0
    0.155   -0.612 137.0 124.0
    0.156   -0.665 131.0 120.0
    0.181   -0.714 126.0 117.0
    0.211   -0.764 121.0 113.0
    0.234   -0.782 115.0 109.0
    0.242   -0.834 112.0 103.0
    0.225   -0.790 112.0  96.0
    0.217   -0.788 107.0  91.0
    0.231   -0.798 104.0  85.0
    0.245   -0.892  96.0  81.0
    0.253   -0.908  92.0  74.0
    0.275   -0.921  86.0  69.0
    0.294   -0.945  79.0  64.0
    0.314   -0.991  73.0  60.0
    0.322   -0.986  68.0  56.0
    0.320   -0.971  65.0  51.0

Recent.Dat
11 21 2017 22 09 00 00000000 00110000  13.4 1532.5 168.4  -0.9  0.5   3.978  24.24     0     0
    0.060   -0.290 205.0 205.0
    0.073   -0.383 196.0 193.0
    0.076   -0.408 186.0 184.0
    0.070   -0.469 178.0 174.0
    0.087   -0.515 172.0 169.0
    0.086   -0.557 169.0 165.0
    0.067   -0.533 164.0 161.0
    0.095   -0.634 161.0 157.0
    0.111   -0.641 156.0 151.0
    0.099   -0.665 154.0 147.0
    0.126   -0.677 149.0 146.0
    0.116   -0.672 146.0 142.0
    0.127   -0.664 142.0 136.0
    0.138   -0.673 139.0 133.0
    0.132   -0.648 137.0 128.0
    0.142   -0.660 132.0 124.0
    0.157   -0.677 128.0 120.0
    0.151   -0.696 124.0 115.0
    0.149   -0.738 120.0 106.0
    0.174   -0.782 115.0 100.0
    0.174   -0.827 112.0  95.0
    0.190   -0.818 108.0  88.0
